, ,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,,1,2,3,4,5,6
,$,,Jul//18,Aug//18,Sep//18,Oct//18,Nov//18,Dec//18,Jan//19,Feb//19,Mar//19,Apr//19,May//19,Jun//19,Jul//19,Aug//19,Sep//19,Oct//19,Nov//19,Dec//19,Jan//20,Feb//20,Mar//20,Apr//20,May//20,Jun//20,Jul//20,Aug//20,Sep//20,Oct//20,Nov//20,Dec//20,Jan//21,Feb//21,Mar//21,Apr//21,May//21,Jun//21,Jul//21,Aug//21,Sep//21,Oct//21,Nov//21,Dec//21,Jan//22,Feb//22,Mar//22,Apr//22,May//22,Jun//22,Jul//22,Aug//22,Sep//22,Oct//22,Nov//22,Dec//22,Jan//23,Feb//23,Mar//23,Apr//23,May//23,Jun//23,Jul//23,Aug//23,Sep//23,Oct//23,Nov//23,Dec//23,Jan//24,Feb//24,Mar//24,Apr//24,May//24,Jun//24,Jul//24,Aug//24,Sep//24,Oct//24,Nov//24,Dec//24,Jan//25,Feb//25,Mar//25,Apr//25,May//25,Jun//25,Jul//25,,2019,2020,2021,2022,2023,2024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bank Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subtotal - debt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Assets,,"86,962","96,108","93,388","95,851","88,673","85,314","91,262","104,958","109,864","116,274","121,624","139,089","125,425","122,103","115,315","119,799","128,478","130,746","140,842","139,347","134,414","148,885","148,561","145,435","152,967","151,469","153,906","153,768","181,555","218,455","255,438","267,639","304,531","314,270","249,324","270,987","289,358","329,903","321,400","390,238","407,487","348,739","309,565","277,206","314,235","261,731","219,297","213,212","241,752","237,096","226,150","214,526","222,841","219,431","259,710","267,109","310,089","310,917","333,056","342,477","338,708","337,547","319,626","319,626","388,313","391,419","409,875","490,274","514,252","494,323","540,732","553,896","533,874","514,154","540,148","574,805","702,432","693,036","708,790","602,245","561,164","563,753","627,414","633,507","707,323",,"85,314","218,455","348,739","219,431","391,419","693,036"
,Total Debt,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Worth,,"86,962","96,108","93,388","95,851","88,673","85,314","91,262","104,958","109,864","116,274","121,624","139,089","125,425","122,103","115,315","119,799","128,478","130,746","140,842","139,347","134,414","148,885","148,561","145,435","152,967","151,469","153,906","153,768","181,555","218,455","255,438","267,639","304,531","314,270","249,324","270,987","289,358","329,903","321,400","390,238","407,487","348,739","309,565","277,206","314,235","261,731","219,297","213,212","241,752","237,096","226,150","214,526","222,841","219,431","259,710","267,109","310,089","310,917","333,056","342,477","338,708","337,547","319,626","319,626","388,313","391,419","409,875","490,274","514,252","494,323","540,732","553,896","533,874","514,154","540,148","574,805","702,432","693,036","708,790","602,245","561,164","563,753","627,414","633,507","707,323",,"85,314","218,455","348,739","219,431","391,419","693,036"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NW YTD %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,20%,25%,21%,32%,35%,30%,25%,32%,40%,71%,69%,2%,-13%,-19%,-19%,-9%,-9%,2%,,,,,,,
,NW YoY,,,,,,,,,,,,,,44%,27%,23%,25%,45%,53%,54%,33%,22%,28%,22%,5%,22%,24%,33%,28%,41%,67%,81%,92%,127%,111%,68%,86%,89%,118%,109%,154%,124%,60%,21%,4%,3%,-17%,-12%,-21%,-16%,-28%,-30%,-45%,-45%,-37%,-16%,-4%,-1%,19%,52%,61%,40%,42%,41%,49%,74%,78%,58%,84%,66%,59%,62%,62%,58%,52%,69%,80%,81%,77%,73%,23%,9%,14%,16%,14%,32%,,,156%,60%,-37%,78%,77%
,Crypto % NW,,,,,,,17%,13%,13%,14%,16%,25%,30%,22%,22%,15%,16%,16%,15%,18%,18%,15%,17%,19%,18%,21%,22%,20%,25%,28%,36%,40%,44%,52%,49%,41%,37%,40%,44%,45%,48%,45%,46%,30%,33%,33%,34%,27%,32%,34%,31%,31%,34%,27%,26%,30%,30%,31%,33%,29%,29%,28%,26%,28%,28%,36%,34%,33%,39%,42%,39%,40%,35%,38%,35%,35%,38%,46%,47%,48%,41%,39%,40%,42%,37%,41%,,17%,36%,46%,26%,34%,47%
